Paper,Conference,Citation Number,Authors,Number of Authors,Title,Publication Year,Publication Venue,Id,Title_sch,Venue_sch,Publication Venue_sch,Publication Year_sch,Authors_sch,Number Authors_sch,Citation Count_sch,Influential Citation Count_sch,Reference Count_sch,Open Access_sch,Field of Study_sch,Field of Study s2_sch,In Paper,In Intro,Not Found,Score title,Score author,Exists,identifier,Title Length,Title Length_sch,Publication Venue_processed,Venue_sch_processed,strategy,Unique,order
"Hypergraph Modeling via Spectral Embedding Connection: Hypergraph Cut, Weighted Kernel $k$-means, and Heat Kernel",AAAI,10,"Qi, Guangda; Aggarwal, Charu; Han, Jiawei; Huang, Thomas",4.0,Mining Collective Intelligence in Diverse Groups.,2013.0,Proceedings of the 22nd International Conference on World Wide Web,fc11136a4b239e5cef57aff29bc3a90448269d52,Mining collective intelligence in diverse groups,The Web Conference,The Web Conference,2013.0,"Guo-Jun Qi, C. Aggarwal, Jiawei Han, Thomas S. Huang",4.0,95.0,6.0,20.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,85.0,1.0,"Hypergraph Modeling via Spectral Embedding Connection: Hypergraph Cut, Weighted Kernel $k$-means, and Heat Kernel10",49.0,48.0,Proceedings of the 22nd International Conference on World Wide Web,The Web Conference,vanilla_1,0,"Hypergraph Modeling via Spectral Embedding Connection: Hypergraph Cut, Weighted Kernel $k$-means, and Heat Kernel10vanilla_1"
RenyiCL: Contrastive Representation Learning with Skew Renyi Divergence,NeurIPS,17,Yingzhen Li and Richard E. Turner,2.0,Rényi Divergence Variational Inference,2016.0,Advances in Neural Information Processing Systems 29,803f5fc50765fa2ac1c72659dca02f285fa48d4b,Rényi Divergence Variational Inference,Neural Information Processing Systems,Neural Information Processing Systems,2016.0,"Yingzhen Li, Richard E. Turner",2.0,226.0,32.0,31.0,False,"['Mathematics', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",1.0,0.0,0.0,100.0,100.0,1.0,RenyiCL: Contrastive Representation Learning with Skew Renyi Divergence17,38.0,38.0,NeurIPS,NeurIPS,vanilla_1,1,RenyiCL: Contrastive Representation Learning with Skew Renyi Divergence17vanilla_1
TIGGER: Scalable Generative Modelling for Temporal Interaction Graphs,AAAI,24,"Yang, Y., Zhai, R., Zhang, C., & Zhang, J.",4.0,TAGGEN: Learning to Generate Task-Based Adventure Games,2018.0,ICCC,,,,,,,,,,,,,,,,,46.0,28.0,0.0,TIGGER: Scalable Generative Modelling for Temporal Interaction Graphs24,55.0,,ICCC,,vanilla_1,1,TIGGER: Scalable Generative Modelling for Temporal Interaction Graphs24vanilla_1
"Understanding, Predicting and Better Resolving Q-Value Divergence in Offline-RL",NeurIPS,2,"Sutton, R. S., & Barto, A. G.",2.0,Introduction to reinforcement learning,2012.0,MIT press,382f2d3c7e318c3ad2de028c6598a9700899ce80,Introduction to Reinforcement Learning,,,1998.0,"Richard S. Sutton, A. Barto",2.0,2714.0,69.0,0.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,89.0,1.0,"Understanding, Predicting and Better Resolving Q-Value Divergence in Offline-RL2",38.0,38.0,MIT press,,vanilla_1,0,"Understanding, Predicting and Better Resolving Q-Value Divergence in Offline-RL2vanilla_1"
Self-Correcting Bayesian Optimization through Bayesian Active Learning,NeurIPS,60,"Wang, Z., & Jegelka, S.",2.0,Max-value entropy search for efficient Bayesian optimization,2017.0,Proceedings of the 34th International Conference on Machine Learning,0d03c970454f55fc3627c340e92a1de55220a304,Max-value Entropy Search for Efficient Bayesian Optimization,International Conference on Machine Learning,International Conference on Machine Learning,2017.0,"Zi Wang, S. Jegelka",2.0,325.0,62.0,41.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",1.0,0.0,0.0,100.0,97.0,1.0,Self-Correcting Bayesian Optimization through Bayesian Active Learning60,60.0,60.0,ICML,ICML,vanilla_1,0,Self-Correcting Bayesian Optimization through Bayesian Active Learning60vanilla_1
Nugget: Neural Agglomerative Embeddings of Text,ICML,22,"Humeau, H., Das, R., Shuster, K., & Weston, J.",4.0,Poly-encoders: Transformer Architectures and Pre-training Strategies for Fast and Accurate Multi-sentence Scoring,2020.0,International Conference on Learning Representations,3e216b4579a02e379738cc11014c8c44e33154c2,Poly-encoders: Transformer Architectures and Pre-training Strategies for Fast and Accurate Multi-sentence Scoring,,,2019.0,"Samuel Humeau, Kurt Shuster, Marie-Anne Lachaux, J. Weston",4.0,172.0,30.0,26.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,82.0,1.0,Nugget: Neural Agglomerative Embeddings of Text22,113.0,113.0,ICLR,,vanilla_1,1,Nugget: Neural Agglomerative Embeddings of Text22vanilla_1
Precise Regret Bounds for Log-loss via a Truncated Bayesian Algorithm,NeurIPS,37,"Pierre Gaillard, Olivier Wintenberger",2.0,One Mic Mac Minka: Large Scale Automatic Bagging,2016.0,Journal of Machine Learning Research,,,,,,,,,,,,,,0.0,0.0,1.0,,,0.0,Precise Regret Bounds for Log-loss via a Truncated Bayesian Algorithm37,48.0,,JMLR,,vanilla_1,0,Precise Regret Bounds for Log-loss via a Truncated Bayesian Algorithm37vanilla_1
"Momentum Stiefel Optimizer, with Applications to Suitably-Orthogonal Attention, and Optimal Transport",ICLR,28,"Liu, D. C., Nocedal, J., Waltz, R. A., & Bretthorst, G. L.",4.0,Parameter Selection in Limited Memory Matrix Methods for Large Scale Optimization,2001.0,Numerical Analysis and Scientific Computing,,,,,,,,,,,,,,,,,62.0,29.0,0.0,"Momentum Stiefel Optimizer, with Applications to Suitably-Orthogonal Attention, and Optimal Transport28",81.0,,Numerical Analysis and Scientific Computing,,vanilla_1,0,"Momentum Stiefel Optimizer, with Applications to Suitably-Orthogonal Attention, and Optimal Transport28vanilla_1"
Bridging the Gap Between Vision Transformers and Convolutional Neural Networks on Small Datasets,NeurIPS,2,"He, K., Zhang, X., Ren, S. and Sun, J.",4.0,Deep Residual Learning for Image Recognition,2016.0,IEEE Conference on Computer Vision and Pattern Recognition,2c03df8b48bf3fa39054345bafabfeff15bfd11d,Deep Residual Learning for Image Recognition,Computer Vision and Pattern Recognition,Computer Vision and Pattern Recognition,2015.0,"Kaiming He, X. Zhang, Shaoqing Ren, Jian Sun",4.0,146861.0,30475.0,54.0,True,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",1.0,1.0,0.0,100.0,78.0,1.0,Bridging the Gap Between Vision Transformers and Convolutional Neural Networks on Small Datasets2,44.0,44.0,CVPR,CVPR,vanilla_1,0,Bridging the Gap Between Vision Transformers and Convolutional Neural Networks on Small Datasets2vanilla_1
Combining Explicit and Implicit Regularization for Efficient Learning in Deep Networks,NeurIPS,9,"Hoyer, P. O.",1.0,Non-negative matrix factorization with sparseness constraints.,2004.0,"Journal of machine learning research, 5(Nov)",ede3af3637977988b8cbb330c294183e919b7d5a,Non-negative Matrix Factorization with Sparseness Constraints,Journal of machine learning research,Journal of machine learning research,2004.0,P. Hoyer,1.0,2866.0,289.0,28.0,False,"['Mathematics', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,Combining Explicit and Implicit Regularization for Efficient Learning in Deep Networks9,62.0,61.0,JMLR,JMLR,vanilla_1,1,Combining Explicit and Implicit Regularization for Efficient Learning in Deep Networks9vanilla_1
"A Fast, Well-Founded Approximation to the Empirical Neural Tangent Kernel",ICML,19,"Krizhevsky, A., & Hinton, G.",2.0,Learning multiple layers of features from tiny images,2009.0,"Technical report, University of Toronto",5d90f06bb70a0a3dced62413346235c02b1aa086,Learning Multiple Layers of Features from Tiny Images,,,2009.0,A. Krizhevsky,1.0,26240.0,8115.0,15.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",1.0,1.0,0.0,100.0,100.0,1.0,"A Fast, Well-Founded Approximation to the Empirical Neural Tangent Kernel19",53.0,53.0,"Technical report, University of Toronto",,vanilla_1,1,"A Fast, Well-Founded Approximation to the Empirical Neural Tangent Kernel19vanilla_1"
FunkNN: Neural Interpolation for Functional Generation,ICLR,19,"Ho, J., Chen, X., Xie, E., Duan, Y., & Abbeel, P.",5.0,Flow++: Improving Flow-Based Generative Models with Variational Dequantization and Architecture Design,2019.0,ICML,c8b25a128f4bfd0c79de82c174dd403b2ef6eeb1,Flow++: Improving Flow-Based Generative Models with Variational Dequantization and Architecture Design,International Conference on Machine Learning,International Conference on Machine Learning,2019.0,"Jonathan Ho, Xi Chen, A. Srinivas, Yan Duan, P. Abbeel",5.0,365.0,48.0,40.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,78.0,1.0,FunkNN: Neural Interpolation for Functional Generation19,102.0,102.0,ICML,ICML,vanilla_1,0,FunkNN: Neural Interpolation for Functional Generation19vanilla_1
Noise Injection Node Regularization for Robust Learning,ICLR,5,P. G. Drazin,1.0,Nonlinear Systems,1992.0,Cambridge University Press,,,,,,,,,,,,,,,,,100.0,26.0,0.0,Noise Injection Node Regularization for Robust Learning5,17.0,,Cambridge University Press,,vanilla_1,0,Noise Injection Node Regularization for Robust Learning5vanilla_1
Mirror Descent Maximizes Generalized Margin and Can Be Implemented Efficiently,NeurIPS,21,"Fawzi, A., Frossard, P.",2.0,Analysis of classifiers' robustness to adversarial perturbations,2018.0,Machine learning,f02441fccec9ed54dd7e21a17736933c84853011,Analysis of classifiers’ robustness to adversarial perturbations,Machine-mediated learning,Machine-mediated learning,2015.0,"Alhussein Fawzi, Omar Fawzi, P. Frossard",3.0,331.0,20.0,43.0,True,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,98.0,94.0,1.0,Mirror Descent Maximizes Generalized Margin and Can Be Implemented Efficiently21,64.0,64.0,Machine learning,Machine-mediated learning,vanilla_1,0,Mirror Descent Maximizes Generalized Margin and Can Be Implemented Efficiently21vanilla_1
Bivariate Causal Discovery for Categorical Data via Classification with Optimal Label Permutation,NeurIPS,19,"Spirtes, P., Glymour, C. N., Scheines, R.",3.0,"Causation, prediction, and search",2000.0,MIT press,5b3b9fe128e6849d59a26d7ceda57baad2524815,"Causation, prediction, and search",,,1993.0,"P. Spirtes, C. Glymour, R. Scheines",3.0,2790.0,230.0,146.0,True,['Mathematics'],"[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,Bivariate Causal Discovery for Categorical Data via Classification with Optimal Label Permutation19,33.0,33.0,MIT press,,vanilla_1,0,Bivariate Causal Discovery for Categorical Data via Classification with Optimal Label Permutation19vanilla_1
Precise Regret Bounds for Log-loss via a Truncated Bayesian Algorithm,NeurIPS,9,Yuri M. Shtarkov,1.0,Universal Sequential Coding of Single Messages,1987.0,Problems of Information Transmission,,,,,,,,,,,,,,,,,48.0,24.0,0.0,Precise Regret Bounds for Log-loss via a Truncated Bayesian Algorithm9,46.0,,Problems of Information Transmission,,vanilla_1,0,Precise Regret Bounds for Log-loss via a Truncated Bayesian Algorithm9vanilla_1
Efficient Aggregated Kernel Tests using Incomplete $U$-statistics,NeurIPS,22,"Efron, B. & Tibshirani, R.",2.0,An Introduction to the Bootstrap,1993.0,CRC Press,85a8a97f614b2b6823e035bcc9abcb0f3d27be4d,An Introduction to the Bootstrap,,,1994.0,"B. Efron, R. Tibshirani",2.0,23010.0,345.0,0.0,True,"['Mathematics', 'Sociology', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Sociology', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,Efficient Aggregated Kernel Tests using Incomplete $U$-statistics22,32.0,32.0,CRC Press,,vanilla_1,1,Efficient Aggregated Kernel Tests using Incomplete $U$-statistics22vanilla_1
Efficient Graph Field Integrators Meet Point Clouds,ICML,25,"Cuturi, M.",1.0,Sinkhorn distances: Lightspeed computation of optimal transport,2013.0,Advances in neural information processing systems,0080118b0eb02af581ff32b85a1bb6aed7081f45,Sinkhorn Distances: Lightspeed Computation of Optimal Transport,Neural Information Processing Systems,Neural Information Processing Systems,2013.0,Marco Cuturi,1.0,3079.0,561.0,37.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",1.0,0.0,0.0,100.0,86.0,1.0,Efficient Graph Field Integrators Meet Point Clouds25,63.0,63.0,NeurIPS,NeurIPS,vanilla_1,1,Efficient Graph Field Integrators Meet Point Clouds25vanilla_1
Curriculum Reinforcement Learning using Optimal Transport via Gradual Domain Adaptation,NeurIPS,15,"Garg, A., Kapoor, A., & Mahajan, K.",3.0,Provable smoothness guarantees for black-box optimization with bandits,2020.0,NeurIPS,,,,,,,,,,,,,,0.0,0.0,1.0,,,0.0,Curriculum Reinforcement Learning using Optimal Transport via Gradual Domain Adaptation15,70.0,,NeurIPS,,vanilla_1,1,Curriculum Reinforcement Learning using Optimal Transport via Gradual Domain Adaptation15vanilla_1
FunkNN: Neural Interpolation for Functional Generation,ICLR,11,"Mildenhall, B., Srinivasan, P. P., Tancik, M., Barron, J. T., Ramamoorthi, R., & Ng, R.",6.0,NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis,2020.0,ECCV,428b663772dba998f5dc6a24488fff1858a0899f,NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis,European Conference on Computer Vision,European Conference on Computer Vision,2020.0,"B. Mildenhall, Pratul P. Srinivasan, Matthew Tancik, J. Barron, R. Ramamoorthi, Ren Ng",6.0,3212.0,996.0,58.0,True,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,97.0,1.0,FunkNN: Neural Interpolation for Functional Generation11,70.0,70.0,ECCV,European Conference on Computer Vision,vanilla_1,0,FunkNN: Neural Interpolation for Functional Generation11vanilla_1
Bitrate-Constrained DRO: Beyond Worst Case Robustness To Unknown Group Shifts,ICLR,32,D. Lopez-Paz,1.0,Algorithmic Robustness: From Classifiers to Autocorrelation,2015.0,International Conference on Artificial Intelligence and Statistics,,,,,,,,,,,,,,,,,44.0,26.0,0.0,Bitrate-Constrained DRO: Beyond Worst Case Robustness To Unknown Group Shifts32,59.0,,International Conference on Artificial Intelligence and Statistics,,vanilla_1,0,Bitrate-Constrained DRO: Beyond Worst Case Robustness To Unknown Group Shifts32vanilla_1
Instance-based Learning for Knowledge Base Completion,NeurIPS,16,"Paulheim, H.",1.0,Knowledge Graph Refinement: A survey of approaches and evaluation methods,2017.0,Semantic Web,53f1779c4169b128072e6f50dc3f31bb2c530a70,Knowledge graph refinement: A survey of approaches and evaluation methods,Semantic Web,,2016.0,Heiko Paulheim,1.0,931.0,65.0,127.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,89.0,1.0,Instance-based Learning for Knowledge Base Completion16,73.0,73.0,Semantic Web,Semantic Web,vanilla_1,0,Instance-based Learning for Knowledge Base Completion16vanilla_1
Self-Supervised Contrastive Pre-Training For Time Series via Time-Frequency Consistency,NeurIPS,29,"Redmon, J., & Farhadi, A.",2.0,"YOLO9000: better, faster, stronger",2017.0,Proceedings of the IEEE conference on computer vision and pattern recognition,7d39d69b23424446f0400ef603b2e3e22d0309d6,"YOLO9000: Better, Faster, Stronger",Computer Vision and Pattern Recognition,Computer Vision and Pattern Recognition,2016.0,"Joseph Redmon, Ali Farhadi",2.0,12113.0,1514.0,20.0,True,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,88.0,1.0,Self-Supervised Contrastive Pre-Training For Time Series via Time-Frequency Consistency29,34.0,34.0,CVPR,CVPR,vanilla_1,0,Self-Supervised Contrastive Pre-Training For Time Series via Time-Frequency Consistency29vanilla_1
Approximately Optimal Core Shapes for Tensor Decompositions,ICML,7,"Oseledets, I. V, & Savostyanov, D. V.",2.0,Optimal rank tensor approximation: new idea in numerical tensor calculus,2011.0,"Russian Academy of Sciences, Universitetskaya",,,,,,,,,,,,,,,,,41.0,32.0,0.0,Approximately Optimal Core Shapes for Tensor Decompositions7,72.0,,"Russian Academy of Sciences, Universitetskaya",,vanilla_1,1,Approximately Optimal Core Shapes for Tensor Decompositions7vanilla_1
