title_arxiv,title_sch,id_arxiv,id_sch,date_arxiv,date_sch,authors_arxiv
Equi-Tuning: Group Equivariant Fine-Tuning of Pretrained Models,Equi-Tuning: Group Equivariant Fine-Tuning of Pretrained Models,2210.06475v2,45693b1fa3c1fcb89a67827fd63b45f0bacf0185,2022-10-13,2022-10-13,"Sourya Basu, Prasanna Sattigeri, Karthikeyan Natesan Ramamurthy, Vijil Chenthamarakshan, Kush R. Varshney, Lav R. Varshney, Payel Das"
Forecasting with Sparse but Informative Variables: A Case Study in Predicting Blood Glucose,Forecasting with Sparse but Informative Variables: A Case Study in Predicting Blood Glucose,2304.08593v1,6e59b0e36f7801a19925a4f82a47ff309fc172c9,2023-04-17,2023-04-17,"Harry Rubin-Falcone, Joyce Lee, Jenna Wiens"
Automated Play-Testing Through RL Based Human-Like Play-Styles Generation,Automated Play-Testing through RL Based Human-Like Play-Styles Generation,2211.17188v1,803cce3f1711810a049a03aafd48465ce3da0dec,2022-11-29,2022-10-11,"Pierre Le Pelletier de Woillemont, Rémi Labory, Vincent Corruble"
FastAMI -- a Monte Carlo Approach to the Adjustment for Chance in Clustering Comparison Metrics,FastAMI - a Monte Carlo Approach to the Adjustment for Chance in Clustering Comparison Metrics,2305.03022v1,54b2c1035b4da593e62f6658a6e064a56c743c16,2023-05-03,2023-05-03,"Kai Klede, Leo Schwinn, Dario Zanca, Björn Eskofier"
Diffusion Curvature for Estimating Local Curvature in High Dimensional Data,Diffusion Curvature for Estimating Local Curvature in High Dimensional Data,2206.03977v1,8995f9ca39248301832c2e071b23e65855aa4c80,2022-06-08,2022-06-08,"Dhananjay Bhaskar, Kincaid MacDonald, Oluwadamilola Fasina, Dawson Thomas, Bastian Rieck, Ian Adelstein, Smita Krishnaswamy"
On the Effect of Pre-training for Transformer in Different Modality on Offline Reinforcement Learning,On the Effect of Pre-training for Transformer in Different Modality on Offline Reinforcement Learning,2211.09817v1,160821fa1cfd66f90d145f144e0b81e3e62fbcb5,2022-11-17,2022-11-17,Shiro Takagi
Large Language Model as Attributed Training Data Generator: A Tale of Diversity and Bias,Large Language Model as Attributed Training Data Generator: A Tale of Diversity and Bias,2306.15895v2,78c488e2d84bd193a40006b1fceb03e3845b81d4,2023-06-28,2023-06-28,"Yue Yu, Yuchen Zhuang, Jieyu Zhang, Yu Meng, Alexander Ratner, Ranjay Krishna, Jiaming Shen, Chao Zhang"
PaCo: Parameter-Compositional Multi-Task Reinforcement Learning,PaCo: Parameter-Compositional Multi-Task Reinforcement Learning,2210.11653v1,16a025da96491c1cc0272a82c6ab60f3d363aac3,2022-10-21,2022-10-21,"Lingfeng Sun, Haichao Zhang, Wei Xu, Masayoshi Tomizuka"
"Understanding, Predicting and Better Resolving Q-Value Divergence in Offline-RL","Understanding, Predicting and Better Resolving Q-Value Divergence in Offline-RL",2310.04411v1,9f923edcb6b8281d178c398b72f22190ba8247bf,2023-10-06,2023-10-06,"Yang Yue, Rui Lu, Bingyi Kang, Shiji Song, Gao Huang"
Differentiable Analog Quantum Computing for Optimization and Control,Differentiable Analog Quantum Computing for Optimization and Control,2210.15812v1,255d74d345f8fdb5b3bb5030c73a5cabee611a45,2022-10-28,2022-10-28,"Jiaqi Leng, Yuxiang Peng, Yi-Ling Qiao, Ming Lin, Xiaodi Wu"
Canonical normalizing flows for manifold learning,Canonical normalizing flows for manifold learning,2310.12743v2,4860d11504e3aeaad96b5b128a1444969bc63f63,2023-10-19,2023-10-19,"Kyriakos Flouris, Ender Konukoglu"
Semantic segmentation of sparse irregular point clouds for leaf wood discrimination,Semantic segmentation of sparse irregular point clouds for leaf/wood discrimination,2305.16963v2,65a896606b8f318eea0a466cbb74d0d2b871047b,2023-05-26,2023-05-26,"Yuchen Bai, Jean-Baptiste Durand, Florence Forbes, Grégoire Vincent"
How a student becomes a teacher: learning and forgetting through Spectral methods,How a student becomes a teacher: learning and forgetting through Spectral methods,2310.12612v1,d8d1c480d0657b8a8b351f8af438740d7bdb391d,2023-10-19,2023-10-19,"Lorenzo Giambagli, Lorenzo Buffoni, Lorenzo Chicchi, Duccio Fanelli"
Support Recovery in Sparse PCA with Incomplete Data,Support Recovery in Sparse PCA with Incomplete Data,2205.15215v1,1e4d32fdaa4f622f7aa15ddb53ab3fa9a0bb4810,2022-05-30,2022-05-30,"Hanbyul Lee, Qifan Song, Jean Honorio"
Beyond Uniform Sampling: Offline Reinforcement Learning with Imbalanced Datasets,Beyond Uniform Sampling: Offline Reinforcement Learning with Imbalanced Datasets,2310.04413v2,4ff5aa25088ad899a23e6ec0385ff5bd0e5efc68,2023-10-06,2023-10-06,"Zhang-Wei Hong, Aviral Kumar, Sathwik Karnik, Abhishek Bhandwaldar, Akash Srivastava, Joni Pajarinen, Romain Laroche, Abhishek Gupta, Pulkit Agrawal"
Self-Supervised Contrastive Pre-Training For Time Series via Time-Frequency Consistency,Self-Supervised Contrastive Pre-Training For Time Series via Time-Frequency Consistency,2206.08496v3,648d90b713997a771e2c49f02cd771e8b7b10b37,2022-06-17,2022-06-17,"Xiang Zhang, Ziyuan Zhao, Theodoros Tsiligkaridis, Marinka Zitnik"
Efficient Aggregated Kernel Tests using Incomplete $U$-statistics,Efficient Aggregated Kernel Tests using Incomplete U-statistics,2206.09194v3,fe8208d09ee86075b828cf12124c5d27f10a355d,2022-06-18,2022-06-18,"Antonin Schrab, Ilmun Kim, Benjamin Guedj, Arthur Gretton"
Instance-based Learning for Knowledge Base Completion,Instance-based Learning for Knowledge Base Completion,2211.06807v1,64ba9c18eb97b1b5366e586ac1988df07c449932,2022-11-13,2022-11-13,"Wanyun Cui, Xingran Chen"
On the Theoretical Properties of Noise Correlation in Stochastic Optimization,On the Theoretical Properties of Noise Correlation in Stochastic Optimization,2209.09162v1,182d800898eb99297e11c4d045e882953f21ed36,2022-09-19,2022-09-19,"Aurelien Lucchi, Frank Proske, Antonio Orvieto, Francis Bach, Hans Kersting"
PDP: Parameter-free Differentiable Pruning is All You Need,PDP: Parameter-free Differentiable Pruning is All You Need,2305.11203v2,c9052f3ccd02c3a841c1ca9ebda6b24dfd847762,2023-05-18,2023-05-18,"Minsik Cho, Saurabh Adya, Devang Naik"
Concentration of Data Encoding in Parameterized Quantum Circuits,Concentration of Data Encoding in Parameterized Quantum Circuits,2206.08273v1,75f62fa6922737b4785fb7aaedec71b89a8918cb,2022-06-16,2022-06-16,"Guangxi Li, Ruilin Ye, Xuanqiang Zhao, Xin Wang"
Beyond Myopia: Learning from Positive and Unlabeled Data through Holistic Predictive Trends,Beyond Myopia: Learning from Positive and Unlabeled Data through Holistic Predictive Trends,2310.04078v1,cda12226872833f5cabb7d5c16fc6252e157299a,2023-10-06,2023-10-06,"Xinrui Wang, Wenhai Wan, Chuanxin Geng, Shaoyuan LI, Songcan Chen"
Towards Reasonable Budget Allocation in Untargeted Graph Structure Attacks via Gradient Debias,Towards Reasonable Budget Allocation in Untargeted Graph Structure Attacks via Gradient Debias,2304.00010v1,512cc73b15ab4afd8f383152c041d566fc5d43a7,2023-03-29,2023-03-29,"Zihan Liu, Yun Luo, Lirong Wu, Zicheng Liu, Stan Z. Li"
Private Set Generation with Discriminative Information,Private Set Generation with Discriminative Information,2211.04446v1,f8aa81482d46c61a7da9256036f277e65681d164,2022-11-07,2022-11-07,"Dingfan Chen, Raouf Kerkouche, Mario Fritz"
Power and limitations of single-qubit native quantum neural networks,Power and limitations of single-qubit native quantum neural networks,2205.07848v2,45ebd34033b7a5ec61b4c870271ae2a42d6a5a0a,2022-05-16,2022-05-16,"Zhan Yu, Hongshun Yao, Mujin Li, Xin Wang"
Getting ViT in Shape: Scaling Laws for Compute-Optimal Model Design,Getting ViT in Shape: Scaling Laws for Compute-Optimal Model Design,2305.13035v4,16b4620b59bfef414d702214a717856c943db7fb,2023-05-22,2023-05-22,"Ibrahim Alabdulmohsin, Xiaohua Zhai, Alexander Kolesnikov, Lucas Beyer"
Learning to Navigate Wikipedia by Taking Random Walks,Learning to Navigate Wikipedia by Taking Random Walks,2211.00177v1,aa0f9140497bc746a1123de54ce496cf6e6222a5,2022-10-31,2022-10-31,"Manzil Zaheer, Kenneth Marino, Will Grathwohl, John Schultz, Wendy Shang, Sheila Babayan, Arun Ahuja, Ishita Dasgupta, Christine Kaeser-Chen, Rob Fergus"
Score-based Generative Modeling Secretly Minimizes the Wasserstein Distance,Score-based Generative Modeling Secretly Minimizes the Wasserstein Distance,2212.06359v1,d86f6b90c69793d0e9a479b7dbe7a59300364bfa,2022-12-13,2022-12-13,"Dohyun Kwon, Ying Fan, Kangwook Lee"
Instance-optimal PAC Algorithms for Contextual Bandits,Instance-optimal PAC Algorithms for Contextual Bandits,2207.02357v1,58be30655a4ef36fc60b9914c94673c5466d6038,2022-07-05,2022-07-05,"Zhaoqi Li, Lillian Ratliff, Houssam Nassif, Kevin Jamieson, Lalit Jain"
Fast Bayesian Inference with Batch Bayesian Quadrature via Kernel Recombination,Fast Bayesian Inference with Batch Bayesian Quadrature via Kernel Recombination,2206.04734v4,83c520e850bc3695c678101aa5af57199df5829e,2022-06-09,2022-06-09,"Masaki Adachi, Satoshi Hayakawa, Martin Jørgensen, Harald Oberhauser, Michael A. Osborne"
FedFed: Feature Distillation against Data Heterogeneity in Federated Learning,FedFed: Feature Distillation against Data Heterogeneity in Federated Learning,2310.05077v1,d9586b8082e0f87c741870b5d1babc120c2fb635,2023-10-08,2023-10-08,"Zhiqin Yang, Yonggang Zhang, Yu Zheng, Xinmei Tian, Hao Peng, Tongliang Liu, Bo Han"
Minimax Regret for Cascading Bandits,Minimax Regret for Cascading Bandits,2203.12577v3,7b09f08d61d35568fc2c218759f5fb2ca7ce97a4,2022-03-23,2022-03-23,"Daniel Vial, Sujay Sanghavi, Sanjay Shakkottai, R. Srikant"
Exact Bayesian Inference on Discrete Models via Probability Generating Functions: A Probabilistic Programming Approach,Exact Bayesian Inference on Discrete Models via Probability Generating Functions: A Probabilistic Programming Approach,2305.17058v3,659d2997af18f6f40802de2d146a4488692ee1b0,2023-05-26,2023-05-26,"Fabian Zaiser, Andrzej S. Murawski, Luke Ong"
A Deep Reinforcement Learning Framework For Column Generation,A Deep Reinforcement Learning Framework For Column Generation,2206.02568v3,4e3f68bc2114371dcf24a2ef4e3c0ebcb56c76f1,2022-06-03,2022-06-03,"Cheng Chi, Amine Mohamed Aboussalah, Elias B. Khalil, Juyoung Wang, Zoha Sherkat-Masoumi"
Bounding and Approximating Intersectional Fairness through Marginal Fairness,Bounding and Approximating Intersectional Fairness through Marginal Fairness,2206.05828v2,0f38838ece2fb3ff9218f2fd942703fe13f336fa,2022-06-12,2022-06-12,"Mathieu Molina, Patrick Loiseau"
On the Convergence and Sample Complexity Analysis of Deep Q-Networks with $ε$-Greedy Exploration,On the Convergence and Sample Complexity Analysis of Deep Q-Networks with ε-Greedy Exploration,2310.16173v1,154a0dc6aa4fd7c0d3160cdce42735d65e58084d,2023-10-24,2023-10-24,"Shuai Zhang, Hongkang Li, Meng Wang, Miao Liu, Pin-Yu Chen, Songtao Lu, Sijia Liu, Keerthiram Murugesan, Subhajit Chaudhury"
Precise Regret Bounds for Log-loss via a Truncated Bayesian Algorithm,Precise Regret Bounds for Log-loss via a Truncated Bayesian Algorithm,2205.03728v1,a6f7c23a2f2985d78d72f32ef0164356bb605ecb,2022-05-07,2022-05-07,"Changlong Wu, Mohsen Heidari, Ananth Grama, Wojciech Szpankowski"
Tree Mover's Distance: Bridging Graph Metrics and Stability of Graph Neural Networks,Tree Mover's Distance: Bridging Graph Metrics and Stability of Graph Neural Networks,2210.01906v1,97aebea05725f19f099762cdcbec41b670780eb5,2022-10-04,2022-10-04,"Ching-Yao Chuang, Stefanie Jegelka"
MMD-FUSE: Learning and Combining Kernels for Two-Sample Testing Without Data Splitting,MMD-FUSE: Learning and Combining Kernels for Two-Sample Testing Without Data Splitting,2306.08777v2,2311d3b473a4d49a07337da1bbe948a03c21e22c,2023-06-14,2023-06-14,"Felix Biggs, Antonin Schrab, Arthur Gretton"
A Holistic Approach to Unifying Automatic Concept Extraction and Concept Importance Estimation,A Holistic Approach to Unifying Automatic Concept Extraction and Concept Importance Estimation,2306.07304v2,d83a51ae59a7c47922cfa12c56e2a8c5a5f11172,2023-06-11,2023-06-11,"Thomas Fel, Victor Boutin, Mazda Moayeri, Rémi Cadène, Louis Bethune, Léo andéol, Mathieu Chalvidal, Thomas Serre"
Procedural Image Programs for Representation Learning,Procedural Image Programs for Representation Learning,2211.16412v1,1e0cf0e78bc145c0096b19b80ec2603c9cf03247,2022-11-29,2022-11-29,"Manel Baradad, Chun-Fu Chen, Jonas Wulff, Tongzhou Wang, Rogerio Feris, Antonio Torralba, Phillip Isola"
Bivariate Causal Discovery for Categorical Data via Classification with Optimal Label Permutation,Bivariate Causal Discovery for Categorical Data via Classification with Optimal Label Permutation,2209.08579v2,05621ec9cd3c1882ae16fc0e05ce57152bf58ff9,2022-09-18,2022-09-18,Yang Ni
Effective Dimension in Bandit Problems under Censorship,Effective Dimension in Bandit Problems under Censorship,2302.06916v1,5ff9d7884259669f9f7ce10560b3c42bbeb70f31,2023-02-14,2023-02-14,"Gauthier Guinet, Saurabh Amin, Patrick Jaillet"
RenyiCL: Contrastive Representation Learning with Skew Renyi Divergence,RényiCL: Contrastive Representation Learning with Skew Rényi Divergence,2208.06270v2,15f206d7523e5224eb3e509e3356cf64b3c3ad9f,2022-08-12,2022-08-12,"Kyungmin Lee, Jinwoo Shin"
Contrast Everything: A Hierarchical Contrastive Framework for Medical Time-Series,Contrast Everything: A Hierarchical Contrastive Framework for Medical Time-Series,2310.14017v3,9331fe5ae1d8c16a36037dd0f0378ccac7d5f230,2023-10-21,2023-10-21,"Yihe Wang, Yu Han, Haishuai Wang, Xiang Zhang"
Explain My Surprise: Learning Efficient Long-Term Memory by Predicting Uncertain Outcomes,Explain My Surprise: Learning Efficient Long-Term Memory by Predicting Uncertain Outcomes,2207.13649v2,cfc5d3032c0c370892eb42687162afbb75455778,2022-07-27,2022-07-27,"Artyom Sorokin, Nazar Buzun, Leonid Pugachev, Mikhail Burtsev"
Non-Linear Coordination Graphs,Non-Linear Coordination Graphs,2211.08404v1,de876fa8ad19637db2efe0cc4c20e946124d51a3,2022-10-26,2022-10-26,"Yipeng Kang, Tonghan Wang, Xiaoran Wu, Qianlan Yang, Chongjie Zhang"
DropCompute: simple and more robust distributed synchronous training via compute variance reduction,DropCompute: simple and more robust distributed synchronous training via compute variance reduction,2306.10598v2,1c7d3a359f4029e5384d784ce118ab53e71877b6,2023-06-18,2023-06-18,"Niv Giladi, Shahar Gottlieb, Moran Shkolnik, Asaf Karnieli, Ron Banner, Elad Hoffer, Kfir Yehuda Levy, Daniel Soudry"
Neural Conservation Laws: A Divergence-Free Perspective,Neural Conservation Laws: A Divergence-Free Perspective,2210.01741v3,af00c69701fdce1306e0e41ebd7d4517fcc24dc8,2022-10-04,2022-10-04,"Jack Richter-Powell, Yaron Lipman, Ricky T. Q. Chen"
Curriculum Reinforcement Learning using Optimal Transport via Gradual Domain Adaptation,Curriculum Reinforcement Learning using Optimal Transport via Gradual Domain Adaptation,2210.10195v1,86785b861d24776bdc0f123e73a8a401f25d72e4,2022-10-18,2022-10-18,"Peide Huang, Mengdi Xu, Jiacheng Zhu, Laixi Shi, Fei Fang, Ding Zhao"
RanPAC: Random Projections and Pre-trained Models for Continual Learning,RanPAC: Random Projections and Pre-trained Models for Continual Learning,2307.02251v1,a522efa0a479bcd368407576ba13d82ee011f581,2023-07-05,2023-07-05,"Mark D. McDonnell, Dong Gong, Amin Parveneh, Ehsan Abbasnejad, Anton van den Hengel"
Mirror Descent Maximizes Generalized Margin and Can Be Implemented Efficiently,Mirror Descent Maximizes Generalized Margin and Can Be Implemented Efficiently,2205.12808v2,a019b71e770d78824b0b9bc265cec63632d19d99,2022-05-25,2022-05-25,"Haoyuan Sun, Kwangjun Ahn, Christos Thrampoulidis, Navid Azizan"
Adaptive Selective Sampling for Online Prediction with Experts,Adaptive Selective Sampling for Online Prediction with Experts,2302.08397v2,309dc5a8736c5c0a883a3d8e8fb5ca445114a193,2023-02-16,2023-02-16,"Rui M. Castro, Fredrik Hellström, Tim van Erven"
Deep Contract Design via Discontinuous Networks,Deep Contract Design via Discontinuous Networks,2307.02318v2,39126bdfdd62d95c760f65d1c09a4e118e18282b,2023-07-05,2023-07-05,"Tonghan Wang, Paul Dütting, Dmitry Ivanov, Inbal Talgam-Cohen, David C. Parkes"
Efficient Equivariant Transfer Learning from Pretrained Models,Efficient Equivariant Transfer Learning from Pretrained Models,2305.09900v2,5bcb0a4d74c7ea0cda31eab0fa44618fec7e2642,2023-05-17,2023-05-17,"Sourya Basu, Pulkit Katdare, Prasanna Sattigeri, Vijil Chenthamarakshan, Katherine Driggs-Campbell, Payel Das, Lav R. Varshney"
Globally Gated Deep Linear Networks,Globally Gated Deep Linear Networks,2210.17449v2,70250717a661453c10dd43961d3dde3b96df08a2,2022-10-31,2022-10-31,"Qianyi Li, Haim Sompolinsky"
Reinforcement Learning in a Birth and Death Process: Breaking the Dependence on the State Space,Reinforcement Learning in a Birth and Death Process: Breaking the Dependence on the State Space,2302.10667v1,a25f9bd0613b75d2c3b7e5215d7423b67c5d64de,2023-02-21,2023-02-21,"Jonatha Anselmi, Bruno Gaujal, Louis-Sébastien Rebuffi"
Going Beyond Linear Mode Connectivity: The Layerwise Linear Feature Connectivity,Going Beyond Linear Mode Connectivity: The Layerwise Linear Feature Connectivity,2307.08286v2,617bf3c2e34f0907fe610d9ced5cf83184fedb1b,2023-07-17,2023-07-17,"Zhanpeng Zhou, Yongyi Yang, Xiaojiang Yang, Junchi Yan, Wei Hu"
Perturbation Learning Based Anomaly Detection,Perturbation Learning Based Anomaly Detection,2206.02704v1,6823583720f1ccaf027c1dc8f158d406d7ea4bb1,2022-06-06,2022-06-06,"Jinyu Cai, Jicong Fan"
Combining Explicit and Implicit Regularization for Efficient Learning in Deep Networks,Combining Explicit and Implicit Regularization for Efficient Learning in Deep Networks,2306.00342v1,66816773473430da0d2464b01e9643769dbdaa5b,2023-06-01,2023-06-01,Dan Zhao
Increasing the Scope as You Learn: Adaptive Bayesian Optimization in Nested Subspaces,Increasing the Scope as You Learn: Adaptive Bayesian Optimization in Nested Subspaces,2304.11468v1,9b8da186249fb0715d3feba9b5b62299857ec1e4,2023-04-22,2023-04-22,"Leonard Papenmeier, Luigi Nardi, Matthias Poloczek"
On the Robustness of Graph Neural Diffusion to Topology Perturbations,On the Robustness of Graph Neural Diffusion to Topology Perturbations,2209.07754v2,489da8995c34704bb285d902d73c938c7bc4dd4e,2022-09-16,2022-09-16,"Yang Song, Qiyu Kang, Sijie Wang, Zhao Kai, Wee Peng Tay"
Revisiting Neural Scaling Laws in Language and Vision,Revisiting Neural Scaling Laws in Language and Vision,2209.06640v2,fb9f9e98d35340875905730e1a80221fec818944,2022-09-13,2022-09-13,"Ibrahim Alabdulmohsin, Behnam Neyshabur, Xiaohua Zhai"
DYffusion: A Dynamics-informed Diffusion Model for Spatiotemporal Forecasting,DYffusion: A Dynamics-informed Diffusion Model for Spatiotemporal Forecasting,2306.01984v2,195dc158fa820c70f9d9892b7f2a150ca0cfc939,2023-06-03,2023-06-03,"Salva Rühling Cachay, Bo Zhao, Hailey Joren, Rose Yu"
Maximum Common Subgraph Guided Graph Retrieval: Late and Early Interaction Networks,Maximum Common Subgraph Guided Graph Retrieval: Late and Early Interaction Networks,2210.11020v1,9a580baf4b69da3dac2b3ff867b2590cd37ab857,2022-10-20,2022-10-20,"Indradyumna Roy, Soumen Chakrabarti, Abir De"
Rethinking Semi-Supervised Imbalanced Node Classification from Bias-Variance Decomposition,Rethinking Semi-Supervised Imbalanced Node Classification from Bias-Variance Decomposition,2310.18765v2,091a1eb4e38911ce97dee2c88e5fbe18f42da6b8,2023-10-28,2023-10-28,"Divin Yan, Gengchen Wei, Chen Yang, Shengzhong Zhang, Zengfeng Huang"
Bridging the Gap Between Vision Transformers and Convolutional Neural Networks on Small Datasets,Bridging the Gap Between Vision Transformers and Convolutional Neural Networks on Small Datasets,2210.05958v2,08d955fc4a6f90fb90640004e8138694de68286a,2022-10-12,2022-10-12,"Zhiying Lu, Hongtao Xie, Chuanbin Liu, Yongdong Zhang"
A Quadrature Rule combining Control Variates and Adaptive Importance Sampling,A Quadrature Rule combining Control Variates and Adaptive Importance Sampling,2205.11890v2,5b95957db604081a574d9d5ca8b9a1765fc7482e,2022-05-24,2022-05-24,"Rémi Leluc, François Portier, Johan Segers, Aigerim Zhuman"
Transformers learn to implement preconditioned gradient descent for in-context learning,Transformers learn to implement preconditioned gradient descent for in-context learning,2306.00297v2,f5e9337477d7a9eb6267d0310549fdefafbb7fe2,2023-06-01,2023-06-01,"Kwangjun Ahn, Xiang Cheng, Hadi Daneshmand, Suvrit Sra"
You Only Live Once: Single-Life Reinforcement Learning,You Only Live Once: Single-Life Reinforcement Learning,2210.08863v1,e199e494ca2006a350c51cecfd70659d55e14675,2022-10-17,2022-10-17,"Annie S. Chen, Archit Sharma, Sergey Levine, Chelsea Finn"
