,Unnamed: 0,Paper,Conference,Citation Number,Authors,Number of Authors,Title,Publication Year,Publication Venue,Id,Title_sch,Venue_sch,Publication Venue_sch,Publication Year_sch,Authors_sch,Number Authors_sch,Citation Count_sch,Influential Citation Count_sch,Reference Count_sch,Open Access_sch,Field of Study_sch,Field of Study s2_sch,In Paper,In Intro,Not Found,Score title,Score author,Exists,identifier,Title Length,Title Length_sch,Publication Venue_processed,Venue_sch_processed,strategy,Unique,order,title_arxiv,original_id,jaccard_coeff,description,in_degree_pred,out_degree_pred,in_degree,out_degree,edges_with_introduction_references,Citation Count_log,Reference Count_log
17,17,Bayesian Optimization-based Combinatorial Assignment,AAAI,18,"Graves, A.",1.0,Practical Variational Inference for Neural Networks,2011.0,Neural Information Processing Systems,5a9ef216bf11f222438fff130c778267d39a9564,Practical Variational Inference for Neural Networks,Neural Information Processing Systems,Neural Information Processing Systems,2011.0,Alex Graves,1.0,1407.0,161.0,28.0,False,"['Mathematics', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Mathematics', 'source': 's2-fos-model'}]",1.0,1.0,0.0,100.0,86.0,1.0,Bayesian Optimization-based Combinatorial Assignment18,51.0,51.0,NeurIPS,NeurIPS,vanilla_1,0,Bayesian Optimization-based Combinatorial Assignment18vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,in intro,,,,,,1407.1,28.1
18,18,Bayesian Optimization-based Combinatorial Assignment,AAAI,19,"Nisan, N.",1.0,Auctions with Severely Bounded Communication,1999.0,Proc. ACM Conference on Electronic Commerce,62777b3830e29eb5d6bbd1f4feb8e44fced85853,Auctions with severely bounded communication,"The 43rd Annual IEEE Symposium on Foundations of Computer Science, 2002. Proceedings.",,2002.0,"Liad Blumrosen, N. Nisan",2.0,121.0,8.0,53.0,True,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,Bayesian Optimization-based Combinatorial Assignment19,44.0,44.0,Proc. ACM Conference on Electronic Commerce,"The 43rd Annual IEEE Symposium on Foundations of Computer Science, 2002. Proceedings.",vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment19vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,isolated,,,,,,121.1,53.1
19,19,Bayesian Optimization-based Combinatorial Assignment,AAAI,20,"Ito, K.",1.0,Monotone-Value Neural Networks for Efficient Combinatorial Auctions,2020.0,Proc. AAAI Conference on Artificial Intelligence,,,,,,,,,,,,,,,,,66.0,8.0,0.0,Bayesian Optimization-based Combinatorial Assignment20,67.0,,AAAI,,vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment20vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
20,20,Bayesian Optimization-based Combinatorial Assignment,AAAI,21,"Weissteiner, J., Heiss, J., Siems, J., Seuken, S.",4.0,Bayesian Optimization-Based Combinatorial Assignment,2023.0,Proc. AAAI Conference on Artificial Intelligence,1ec31c7e532b18a5c1724a34689baba35e050c0e,Bayesian Optimization-based Combinatorial Assignment,AAAI Conference on Artificial Intelligence,AAAI Conference on Artificial Intelligence,2022.0,"Jakob Weissteiner, Jakob Heiss, Julien N. Siems, Sven Seuken",4.0,5.0,0.0,43.0,True,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,94.0,1.0,Bayesian Optimization-based Combinatorial Assignment21,52.0,52.0,AAAI,AAAI,vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment21vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,5.1,43.1
21,21,Bayesian Optimization-based Combinatorial Assignment,AAAI,22,"Feng, Z., Parkes, D.C.",2.0,Neural Networks in Iterative Combinatorial Auctions,2017.0,Proc. Conference on Uncertainty in Artificial Intelligence,,,,,,,,,,,,,,,,,75.0,17.0,0.0,Bayesian Optimization-based Combinatorial Assignment22,51.0,,Proc. Conference on Uncertainty in Artificial Intelligence,,vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment22vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
22,22,Bayesian Optimization-based Combinatorial Assignment,AAAI,23,"Ha, E.",1.0,Practical Preference Elicitation for Combinatorial Auctions Using Bayesian Neural Networks,2018.0,Proc. AAAI Conference on Artificial Intelligence,,,,,,,,,,,,,,,,,31.0,15.0,0.0,Bayesian Optimization-based Combinatorial Assignment23,90.0,,AAAI,,vanilla_1,1,Bayesian Optimization-based Combinatorial Assignment23vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,,,,,,,,,
23,23,Bayesian Optimization-based Combinatorial Assignment,AAAI,24,"Gal, Y., Ghahramani, Z.",2.0,Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning,2016.0,International Conference on Machine Learning,3c623c08329e129e784a5d03f7606ec8feba3a28,Uncertainty in Deep Learning,,,2016.0,Y. Gal,1.0,1307.0,202.0,140.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Physics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,Bayesian Optimization-based Combinatorial Assignment24,84.0,28.0,ICML,,vanilla_1,0,Bayesian Optimization-based Combinatorial Assignment24vanilla_1,Bayesian Optimization-based Combinatorial Assignment,1ec31c7e532b18a5c1724a34689baba35e050c0e,0.125,non-isolated,,,,,,1307.1,140.1
24,24,Continual Learning with Scaled Gradient Projection,AAAI,1,"A. Achille, M. Rovere, S. Soatto",3.0,Critical learning periods in deep networks,2019.0,ICLR,1802a7870a642d414f435273dd9e9190a0dc4fcb,Critical Learning Periods in Deep Networks,International Conference on Learning Representations,International Conference on Learning Representations,2018.0,"A. Achille, Matteo Rovere, Stefano Soatto",3.0,108.0,17.0,0.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,92.0,1.0,Continual Learning with Scaled Gradient Projection1,42.0,42.0,ICLR,ICLR,vanilla_1,0,Continual Learning with Scaled Gradient Projection1vanilla_1,Continual Learning with Scaled Gradient Projection,8023869b534ae182e3e7d5df25690a062106912d,,isolated,,,,,,108.1,0.1
25,25,Continual Learning with Scaled Gradient Projection,AAAI,2,"R. Aljundi, M. Lin, Y. Gao, T. Tuytelaars",4.0,Online continual learning with maximally interfered retrieval,2019.0,NeurIPS,913f0771782023e2bf400e4d344eab7d2a674d23,Online Continual Learning with Maximally Interfered Retrieval,Neural Information Processing Systems,Neural Information Processing Systems,2019.0,"Rahaf Aljundi, Lucas Caccia, Eugene Belilovsky, Massimo Caccia, Min Lin, Laurent Charlin, T. Tuytelaars",7.0,339.0,91.0,42.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,83.0,1.0,Continual Learning with Scaled Gradient Projection2,61.0,61.0,NeurIPS,NeurIPS,vanilla_1,0,Continual Learning with Scaled Gradient Projection2vanilla_1,Continual Learning with Scaled Gradient Projection,8023869b534ae182e3e7d5df25690a062106912d,0.4,non-isolated,,,,,,339.1,42.1
26,26,Continual Learning with Scaled Gradient Projection,AAAI,3,"F. Cao, X. Wang, K. Zhang, C. Xu",4.0,Learning without forgetting by maximizing transfer and minimizing interference,2020.0,ICLR,,,,,,,,,,,,,,,,,100.0,23.0,0.0,Continual Learning with Scaled Gradient Projection3,78.0,,ICLR,,vanilla_1,1,Continual Learning with Scaled Gradient Projection3vanilla_1,Continual Learning with Scaled Gradient Projection,8023869b534ae182e3e7d5df25690a062106912d,,,,,,,,,
27,27,Continual Learning with Scaled Gradient Projection,AAAI,4,"A. Chaudhry, M. Ranzato, M. Rohrbach, M. Elhoseiny",4.0,Efficient lifelong learning with A-GEM,2019.0,ICLR,4a954b3e72a61968ab235076bcc242aca3a05520,Efficient Lifelong Learning with A-GEM,International Conference on Learning Representations,International Conference on Learning Representations,2018.0,"Arslan Chaudhry, Marc'Aurelio Ranzato, Marcus Rohrbach, Mohamed Elhoseiny",4.0,967.0,226.0,33.0,False,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",1.0,0.0,0.0,100.0,95.0,1.0,Continual Learning with Scaled Gradient Projection4,38.0,38.0,ICLR,ICLR,vanilla_1,0,Continual Learning with Scaled Gradient Projection4vanilla_1,Continual Learning with Scaled Gradient Projection,8023869b534ae182e3e7d5df25690a062106912d,,in paper,,,,,,967.1,33.1
28,28,Continual Learning with Scaled Gradient Projection,AAAI,7,R. F. French,1.0,Catastrophic forgetting in connectionist networks,1999.0,Trends in cognitive sciences,2722b9e5ab8da95f03e578bb65879c452c105385,Catastrophic forgetting in connectionist networks,Trends in Cognitive Sciences,Trends in Cognitive Sciences,1999.0,R. French,1.0,1809.0,75.0,68.0,False,"['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,100.0,1.0,Continual Learning with Scaled Gradient Projection7,49.0,49.0,Trends in cognitive sciences,Trends in Cognitive Sciences,vanilla_1,1,Continual Learning with Scaled Gradient Projection7vanilla_1,Continual Learning with Scaled Gradient Projection,8023869b534ae182e3e7d5df25690a062106912d,0.2857142857142857,non-isolated,,,,,,1809.1,68.1
29,29,Continual Learning with Scaled Gradient Projection,AAAI,8,"M. Golkar, M. Kagan, K. Cho",3.0,Continual learning via neural pruning,2019.0,NeurIPS,2d20ca90b7f7db0a29b4f9a1118c73f08b82fbda,Continual Learning via Neural Pruning,arXiv.org,arXiv.org,2019.0,"Siavash Golkar, M. Kagan, Kyunghyun Cho",3.0,118.0,8.0,22.0,False,"['Computer Science', 'Biology', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Biology', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,95.0,1.0,Continual Learning with Scaled Gradient Projection8,37.0,37.0,NeurIPS,arxiv,vanilla_1,0,Continual Learning with Scaled Gradient Projection8vanilla_1,Continual Learning with Scaled Gradient Projection,8023869b534ae182e3e7d5df25690a062106912d,0.1111111111111111,non-isolated,,,,,,118.1,22.1
30,30,Continual Learning with Scaled Gradient Projection,AAAI,9,"G. Hinton, D. Plaut",2.0,Using fast weights to deblur old memories,1987.0,Proc. Ninth Annual Conf. Cognitive Science Society,7257eacd80458e70c74494eb1b6759b52ff21399,Using fast weights to deblur old memories,,,1987.0,Geoffrey E. Hinton,1.0,241.0,11.0,10.0,False,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,55.0,1.0,Continual Learning with Scaled Gradient Projection9,41.0,41.0,Proc. Ninth Annual Conf. Cognitive Science Society,,vanilla_1,0,Continual Learning with Scaled Gradient Projection9vanilla_1,Continual Learning with Scaled Gradient Projection,8023869b534ae182e3e7d5df25690a062106912d,0.05,non-isolated,,,,,,241.1,10.1
31,31,Continual Learning with Scaled Gradient Projection,AAAI,10,"J. Y. Hu, J. X. Wang, P. Liu, C. Gao, Z. Yu, D. Zhao",6.0,Overcoming catastrophic forgetting with unobtrusive gradient surgery,2020.0,NeurIPS,,,,,,,,,,,,,,0.0,0.0,1.0,,,0.0,Continual Learning with Scaled Gradient Projection10,68.0,,NeurIPS,,vanilla_1,1,Continual Learning with Scaled Gradient Projection10vanilla_1,Continual Learning with Scaled Gradient Projection,8023869b534ae182e3e7d5df25690a062106912d,,,,,,,,,
32,32,Continual Learning with Scaled Gradient Projection,AAAI,11,"Y. Jang, J. Lee, J. K. Na, G. J. Kim",4.0,Lifelong sequential context learning,2018.0,arXiv preprint arXiv:1811.06031,,,,,,,,,,,,,,,,,64.0,40.0,0.0,Continual Learning with Scaled Gradient Projection11,36.0,,arxiv,,vanilla_1,0,Continual Learning with Scaled Gradient Projection11vanilla_1,Continual Learning with Scaled Gradient Projection,8023869b534ae182e3e7d5df25690a062106912d,,,,,,,,,
33,33,Continual Learning with Scaled Gradient Projection,AAAI,12,"J. J. Kirkpatrick, R. Pascanu, N. Rabinowitz",3.0,Overcoming catastrophic forgetting in neural networks,2017.0,Proceedings of the National Academy of Sciences,2e55ba6c97ce5eb55abd959909403fe8da7e9fe9,Overcoming catastrophic forgetting in neural networks,Proceedings of the National Academy of Sciences of the United States of America,Proceedings of the National Academy of Sciences of the United States of America,2016.0,"J. Kirkpatrick, Razvan Pascanu, Neil C. Rabinowitz, J. Veness, Guillaume Desjardins, Andrei A. Rusu, Kieran Milan, John Quan, Tiago Ramalho, A. Grabska-Barwinska, D. Hassabis, C. Clopath, D. Kumaran, R. Hadsell",14.0,4708.0,950.0,48.0,True,"['Computer Science', 'Medicine', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",1.0,1.0,0.0,100.0,97.0,1.0,Continual Learning with Scaled Gradient Projection12,53.0,53.0,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences of the United States of America,vanilla_1,0,Continual Learning with Scaled Gradient Projection12vanilla_1,Continual Learning with Scaled Gradient Projection,8023869b534ae182e3e7d5df25690a062106912d,,in intro,,,,,,4708.1,48.1
34,34,Continual Learning with Scaled Gradient Projection,AAAI,13,"T. Lesort, N. Díaz-Rodríguez, J. Lomonaco, D. Filliat",4.0,"Continual Learning for Robotics: Definition, Framework, Learning Strategies, Opportunities and Challenges",2021.0,Information Fusion,,,,,,,,,,,,,,,,,34.0,33.0,0.0,Continual Learning with Scaled Gradient Projection13,105.0,,Information Fusion,,vanilla_1,0,Continual Learning with Scaled Gradient Projection13vanilla_1,Continual Learning with Scaled Gradient Projection,8023869b534ae182e3e7d5df25690a062106912d,,,,,,,,,
35,35,Continual Learning with Scaled Gradient Projection,AAAI,14,"G. A. Miller, R. Beckwith, C. D. Fellbaum, D. Gross",4.0,Introduction to WordNet: An On-line Lexical Database,1990.0,Linguistic Society of America,4bd970a37c59c97804ff93cbb2c108e081de3a37,Introduction to WordNet: An On-line Lexical Database,,,1990.0,"G. Miller, R. Beckwith, C. Fellbaum, Derek Gross, K. Miller",5.0,5528.0,754.0,103.0,True,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Linguistics', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,95.0,1.0,Continual Learning with Scaled Gradient Projection14,52.0,52.0,Linguistic Society of America,,vanilla_1,0,Continual Learning with Scaled Gradient Projection14vanilla_1,Continual Learning with Scaled Gradient Projection,8023869b534ae182e3e7d5df25690a062106912d,,isolated,,,,,,5528.1,103.1
36,36,Continual Learning with Scaled Gradient Projection,AAAI,15,"G. S. X. He, H. A. David van Dyk",2.0,Overcoming catastrophic forgetting with hard attention to the task,2018.0,ICML,,,,,,,,,,,,,,,,,100.0,14.0,0.0,Continual Learning with Scaled Gradient Projection15,66.0,,ICML,,vanilla_1,0,Continual Learning with Scaled Gradient Projection15vanilla_1,Continual Learning with Scaled Gradient Projection,8023869b534ae182e3e7d5df25690a062106912d,,,,,,,,,
37,37,Continual Learning with Scaled Gradient Projection,AAAI,16,"P. Kemker, M. McClure, A. J. Sicchio, D. A. Kudithipudi, and C. Kanan",5.0,Measuring catastrophic forgetting in neural networks,2018.0,AAAI,4f03dcc7cc3aadae16655c87c6c882407617c725,Measuring Catastrophic Forgetting in Neural Networks,AAAI Conference on Artificial Intelligence,AAAI Conference on Artificial Intelligence,2017.0,"Ronald Kemker, Angelina Abitino, Marc McClure, Christopher Kanan",4.0,502.0,32.0,38.0,True,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",0.0,0.0,0.0,100.0,58.0,1.0,Continual Learning with Scaled Gradient Projection16,52.0,52.0,AAAI,AAAI,vanilla_1,0,Continual Learning with Scaled Gradient Projection16vanilla_1,Continual Learning with Scaled Gradient Projection,8023869b534ae182e3e7d5df25690a062106912d,0.15,non-isolated,,,,,,502.1,38.1
